region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,old_2_1_rank,points,old_2_1_points,primary_count,secondary_count,other_count,selection_count,ballots,primary_rate,secondary_rate,top2_rate,selection_rate,male_rate,female_rate,other_gender_rate,under20_rate,overall_male_rate,overall_female_rate,overall_other_gender_rate,equal_rank_change,source_type
cn,1,CN1,character,67,大鲶鱼,大ナマズ,大鲶鱼,84,84,,20.0,,0.0,,20.0,20.0,6365,0.0,,,0.003142183817753339,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,113,无名的读书妖怪（朱鹭子）,名無しの本読み妖怪,无名的读书妖怪（朱鹭子）,84,84,,20.0,,0.0,,20.0,20.0,6365,0.0,,,0.003142183817753339,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,18,梅露兰普莉兹姆利巴,メルラン・プリズムリバー,梅露兰·普莉兹姆利巴,86,86,,19.0,,1.0,,17.0,18.0,6365,0.05555555555555555,,,0.0028279654359780046,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,50,琪斯美,キスメ,琪斯美,86,86,,21.0,,3.0,,15.0,18.0,6365,0.16666666666666666,,,0.0028279654359780046,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,117,绵月丰姬,綿月 豊姫,绵月丰姬,86,86,,21.0,,3.0,,15.0,18.0,6365,0.16666666666666666,,,0.0028279654359780046,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,61,云居一轮,雲居 一輪,云居一轮,89,89,,19.0,,2.0,,15.0,17.0,6365,0.11764705882352941,,,0.002670856245090338,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,68,非想天则,,非想天则,89,89,,18.0,,1.0,,16.0,17.0,6365,0.058823529411764705,,,0.002670856245090338,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,138,阴阳玉,,阴阳玉,91,91,,15.0,,0.0,,15.0,15.0,6365,0.0,,,0.002356637863315004,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,91,卡娜安娜贝拉尔,カナ・アナベラル,卡娜·安娜贝拉尔,92,92,,15.0,,1.0,,13.0,14.0,6365,0.07142857142857142,,,0.002199528672427337,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,25,蕾拉普莉兹姆利巴,レイラ・プリズムリバー,蕾拉·普莉兹姆利巴,92,92,,14.0,,0.0,,14.0,14.0,6365,0.0,,,0.002199528672427337,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,93,北白河千百合,北白河 ちゆり,北白河千百合,94,94,,14.0,,1.0,,12.0,13.0,6365,0.07692307692307693,,,0.00204241948153967,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,134,ufo,,UFO,95,95,,12.0,,2.0,,8.0,10.0,6365,0.2,,,0.0015710919088766694,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,106,舞,マイ,舞,95,95,,10.0,,0.0,,10.0,10.0,6365,0.0,,,0.0015710919088766694,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,66,命莲,命蓮,命莲,97,97,,9.0,,0.0,,9.0,9.0,6365,0.0,,,0.0014139827179890023,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,80,矜羯罗,コンガラ,矜羯罗,97,97,,9.0,,0.0,,9.0,9.0,6365,0.0,,,0.0014139827179890023,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,100,艾丽,エリー,艾丽,97,97,,9.0,,0.0,,9.0,9.0,6365,0.0,,,0.0014139827179890023,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,133,妖精（含持花妖精，僵尸妖精）,,妖精（含持花妖精，僵尸妖精）,100,100,,9.0,,1.0,,7.0,8.0,6365,0.125,,,0.0012568735271013354,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,86,明罗,明羅,明罗,100,100,,11.0,,3.0,,5.0,8.0,6365,0.375,,,0.0012568735271013354,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,101,梦月,夢月,梦月,102,102,,8.0,,1.0,,6.0,7.0,6365,0.14285714285714285,,,0.0010997643362136685,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,84,玄爷,玄爺,玄爷,102,102,,8.0,,1.0,,6.0,7.0,6365,0.14285714285714285,,,0.0010997643362136685,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,77,神玉,シンギョク,神玉,102,102,,7.0,,0.0,,7.0,7.0,6365,0.0,,,0.0010997643362136685,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,105,雪,ユキ,雪,102,102,,7.0,,0.0,,7.0,7.0,6365,0.0,,,0.0010997643362136685,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,107,梦子,夢子,梦子,106,106,,10.0,,4.0,,2.0,6.0,6365,0.6666666666666666,,,0.0009426551453260016,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,89,爱莲,エレン,爱莲,106,106,,7.0,,1.0,,5.0,6.0,6365,0.16666666666666666,,,0.0009426551453260016,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,136,求闻史纪中的受访人群（如蟒蛇六介、彦佐卫门、花店老板、开朗的地缚灵、某位母亲等）,,求闻史纪中的受访人群（如蟒蛇六介、彦佐卫门、花店老板、开朗的地缚灵、某位母亲等）,108,108,,5.0,,0.0,,5.0,5.0,6365,0.0,,,0.0007855459544383347,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,99,胡桃,くるみ,胡桃,108,108,,6.0,,1.0,,4.0,5.0,6365,0.2,,,0.0007855459544383347,,,,,,,,0,cn_normalized_workbook
