character,first_appearance_work,cn11_official_rank,jp20_official_rank,rank_gap_cn_minus_jp,cn11_male_character_marks,cn11_female_character_marks,cn11_female_share_known_binary_marks,female_relative_preference_ratio,literal_neutral_tag_hit,presentation_proxy_hit,expanded_proxy_hit,cn11_raw_vote_baseline_rank_within_comparable_roster,cn11_raw_vote_reweighted_rank_at_jp20_binary_female_share,reweighted_rank_change_negative_is_improvement,matched_tags
古明地觉,11,5,8,-3,2481,344,0.12176991150442477,0.8042572011869104,False,False,False,5,5,0,"['万年萝莉', '三眼', '侦探', '发箍', '姐姐', '文学少女', '棉拖', '死鱼眼', '温柔', '白色短袜', '短发', '萌袖', '读心', '颜艺']"
吉吊八千慧,17,55,70,-15,333,84,0.2014388489208633,1.4631819414428109,False,False,False,51,51,0,"['威严', '短发', '组织领导人（黑帮老大）', '腹黑', '角', '龙尾', '龟甲']"
哆来咪·苏伊特,15,54,58,-4,347,79,0.18544600938967137,1.3205683866315365,False,False,False,50,50,0,"['书', '嘲讽脸', '尾巴', '披肩', '有袜无鞋', '猫嘴', '睡帽', '短靴', '连衣裙', '长发']"
四季映姬·夜摩仙那度,9,24,25,-1,876,158,0.1528046421663443,1.046203721829094,False,False,False,23,22,-1,"['万年萝莉', '不对称鬓发', '傲娇', '制服', '短发', '认真', '说教', '贫乳', '阎王']"
因幡天为（因幡帝）,8,75,69,6,252,29,0.10320284697508897,0.6675145506667245,False,False,False,67,69,2,"['兔娘', '兔尾', '兔耳', '泡泡袖', '灯笼裤', '短发', '胡萝卜项链', '腹黑', '萝莉老太婆', '装嫩', '裸足', '说谎', '连衣裙']"
圣白莲,12,53,49,4,359,82,0.18594104308390022,1.3248987297067714,False,False,False,49,49,0,"['BBA', '佛珠', '僧侣', '哥特萝莉装', '姐姐', '巨乳', '披风', '摩托车', '斗笠', '温柔', '皮靴', '紧身衣', '超人', '黑丝']"
坂田合欢,16,154,153,1,16,9,0.36,3.262765088172697,False,False,False,118,118,0,"['巨乳', '柴刀', '母爱', '片假名名字', '第一人称Uchi', '袖套', '裸足', '长发', '露腋']"
埴安神袿姬,17,51,66,-15,388,82,0.17446808510638298,1.2258727937235334,False,False,False,47,47,0,"['围裙', '头巾', '女神', '尾气', '工匠', '项链']"
堀川雷鼓,14,79,95,-16,209,63,0.23161764705882354,1.748467415671493,False,True,True,70,66,-4,"['乐团领队', '伪郎', '卷发', '巨乳', '电能力', '皮靴', '短发', '西装', '酒豪', '非法御姐', '领带', '鼓手']"
多多良小伞,12,22,23,-1,1010,68,0.06307977736549165,0.39052677843035144,False,False,False,22,23,1,"['万年萝莉', '吐舌头', '吓人', '唐伞', '异色瞳', '木屐', '短发']"
大妖精,6,47,63,-16,451,53,0.10515873015873016,0.6816518341390606,False,False,False,43,45,2,"['万年萝莉', '人妻', '侧单马尾', '发带', '妖精', '翅膀', '路人', '连衣裙']"
天弓千亦,18,46,59,-13,462,87,0.15846994535519127,1.0922965374546403,False,False,False,42,42,0,"['发箍', '商人', '女神', '妹妹头', '尾气', '披风', '短发', '连衣裙', '靴子']"
天火人血枪,19,104,97,7,101,28,0.21705426356589147,1.6080514405955646,False,False,False,92,92,0,"['卷发', '嗜血', '宅女', '尖耳朵', '尾巴', '文字衫', '最强', '注射器', '火能力', '血液操控', '裸足', '角', '试管', '长发', '间谍']"
姬海棠果,12.5,83,78,5,200,34,0.1452991452991453,0.9860801155366373,False,False,False,73,76,3,"['及膝袜', '双马尾', '天狗', '家里蹲', '尖耳朵', '帽子', '手机', '木屐', '泡泡袖', '相机', '翅膀', '记者', '领带']"
姬虫百百世,18,106,98,8,99,26,0.208,1.5233560905497663,False,False,False,94,94,0,"['乱发', '公主', '吃人', '杀马特', '特殊第一人称(注)日语为俺（おれ）', '狂气', '率直', '矿工', '蜈蚣娘', '蝴蝶结', '裸足', '锹', '镐', '长刘海', '长直', '高额头']"
娜兹玲,12,89,54,35,167,36,0.17733990147783252,1.2504009918745664,False,False,False,79,79,0,"['兽耳', '寻宝者', '尾巴', '披肩', '探宝棒', '短发', '萝莉', '项链']"
孙美天,19,103,110,-7,106,25,0.19083969465648856,1.3680356763826822,False,False,False,91,93,2,"['下双马尾', '中国风格', '分离袖子', '吃货', '妄想', '尾巴', '手环', '无袖连衣裙', '棍棒', '猴娘', '裸足', '试管', '金箍', '间谍']"
宇佐见堇子,14.5,66,82,-16,234,82,0.25949367088607594,2.032643777627055,False,False,False,60,58,-2,"['下双马尾', '中二', '及膝袜', '女高中生', '手套', '披风', '爵士帽', '眼镜', '连衣裙']"
宫古芳香,13,116,92,24,74,23,0.23711340206185566,1.8028491778491778,False,False,False,101,100,-1,"['中国风格', '健忘', '僵尸', '大胃王', '天然呆', '巨乳', '忠犬', '死鱼眼', '白色皮肤', '短发', '符纸', '笨蛋', '解放帽', '门卫', '领结']"
