original_page,original_name_jp,original_name_cn,first_release_work,first_release_date,first_release_date_raw,arrangement_count,vocal_count,arrange_count,dated_arrangement_count,undated_arrangement_count,timeline_available,source_page_url,source_frontend_url,count_basis,observed_at_utc
公正的争夺,公正なる奪い合い,公正的争夺,东方深秘录,2015-05-10,1/2015/5/10,1,0,1,1,0,True,https://thwiki.cc/%E5%85%AC%E6%AD%A3%E7%9A%84%E4%BA%89%E5%A4%BA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
兽之智慧,獣の知性,兽之智慧,东方兽王园体验版,2023-05-07,1/2023/5/7,30,2,28,30,0,True,https://thwiki.cc/%E5%85%BD%E4%B9%8B%E6%99%BA%E6%85%A7,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
兽王们的小憩,獣王達の休息,兽王们的小憩,东方兽王园,2023-08-13,1/2023/8/13,7,0,7,7,0,True,https://thwiki.cc/%E5%85%BD%E7%8E%8B%E4%BB%AC%E7%9A%84%E5%B0%8F%E6%86%A9,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
内心,裏心,内心,东方萃梦想,2004-12-30,1/2004/12/30,3,1,2,3,0,True,https://thwiki.cc/%E5%86%85%E5%BF%83,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
冷吟闲醉,冷吟閑酔,冷吟闲醉,东方绯想天,2008-05-25,1/2008/5/25,15,4,11,15,0,True,https://thwiki.cc/%E5%86%B7%E5%90%9F%E9%97%B2%E9%86%89,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
冻结的永远之都,凍り付いた永遠の都,冻结的永远之都,东方绀珠传,2015-08-14,1/2015/8/14,301,59,242,300,1,True,https://thwiki.cc/%E5%86%BB%E7%BB%93%E7%9A%84%E6%B0%B8%E8%BF%9C%E4%B9%8B%E9%83%BD,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
凋叶棕（withered leaf）,ティアオイエツォン(withered leaf),凋叶棕（withered leaf）,东方妖妖梦体验版,2002-12-30,1/2002/12/30,1160,423,737,1156,4,True,https://thwiki.cc/%E5%87%8B%E5%8F%B6%E6%A3%95%EF%BC%88withered_leaf%EF%BC%89,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
凭依华,憑依華,凭依华,完全凭依唱片名录,2018-05-06,1/2018/5/6,7,1,6,7,0,True,https://thwiki.cc/%E5%87%AD%E4%BE%9D%E5%8D%8E,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
凭坐挟于梦境与现实之间 ～ Necro-Fantasia,憑坐は夢と現の間に　～ Necro-Fantasia,凭坐挟于梦境与现实之间　～ Necro-Fantasia,东方凭依华,2017-12-29,1/2017/12/29,70,15,55,70,0,True,https://thwiki.cc/%E5%87%AD%E5%9D%90%E6%8C%9F%E4%BA%8E%E6%A2%A6%E5%A2%83%E4%B8%8E%E7%8E%B0%E5%AE%9E%E4%B9%8B%E9%97%B4_%EF%BD%9E_Necro-Fantasia,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
凭投依合,憑依投合,凭投依合,东方凭依华,2017-12-29,1/2017/12/29,2,1,1,2,0,True,https://thwiki.cc/%E5%87%AD%E6%8A%95%E4%BE%9D%E5%90%88,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
出演者选择,演者選択,出演者选择,东方心绮楼,2013-05-26,1/2013/5/26,1,0,1,1,0,True,https://thwiki.cc/%E5%87%BA%E6%BC%94%E8%80%85%E9%80%89%E6%8B%A9,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
到达有顶天,至る有頂天,到达有顶天,东方凭依华,2017-12-29,1/2017/12/29,9,3,6,9,0,True,https://thwiki.cc/%E5%88%B0%E8%BE%BE%E6%9C%89%E9%A1%B6%E5%A4%A9,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
前所未见的噩梦世界,見た事も無い悪夢の世界,前所未见的噩梦世界,东方绀珠传,2015-08-14,1/2015/8/14,202,65,137,201,1,True,https://thwiki.cc/%E5%89%8D%E6%89%80%E6%9C%AA%E8%A7%81%E7%9A%84%E5%99%A9%E6%A2%A6%E4%B8%96%E7%95%8C,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
