round,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
5,3,8,2,因为什么原因您没有使用代购作为您的购买渠道（非国内作品）,0,0,认为代购加价过高,409,352,57,409,19.35,20.25,15.16,2114,1738,376,0
5,3,8,2,因为什么原因您没有使用代购作为您的购买渠道（非国内作品）,0,1,没有或无法使用网银,963,737,226,963,45.55,42.41,60.11,2114,1738,376,0
5,3,8,2,因为什么原因您没有使用代购作为您的购买渠道（非国内作品）,0,2,不知道存在这样的代购,666,586,80,666,31.5,33.72,21.28,2114,1738,376,0
5,3,8,2,因为什么原因您没有使用代购作为您的购买渠道（非国内作品）,0,3,身居海外难以使用以大陆为主的代购,76,63,13,76,3.6,3.62,3.46,2114,1738,376,0
5,3,9,3,环境中存在什么样的购买二次同人作品的阻碍（非国内作品）,1,0,家人或朋友的反对,553,407,146,553,44.74,41.53,57.03,1236,980,256,0
5,3,9,3,环境中存在什么样的购买二次同人作品的阻碍（非国内作品）,1,1,居所没有放置空间,306,246,60,306,24.76,25.1,23.44,1236,980,256,0
5,3,9,3,环境中存在什么样的购买二次同人作品的阻碍（非国内作品）,1,2,其他方面的障碍,782,640,142,782,63.27,65.31,55.47,1236,980,256,0
5,3,10,3,购买过国内创作的二次同人作品吗,0,0,热衷于购买,771,557,213,770,9.8,8.69,14.63,7865,6407,1456,2
5,3,10,3,购买过国内创作的二次同人作品吗,0,1,购买过,3270,2603,666,3269,41.58,40.63,45.74,7865,6407,1456,2
5,3,10,3,购买过国内创作的二次同人作品吗,0,2,想买但是没有条件,2068,1713,355,2068,26.29,26.74,24.38,7865,6407,1456,2
5,3,10,3,购买过国内创作的二次同人作品吗,0,3,没有考虑过,1756,1534,222,1756,22.33,23.94,15.25,7865,6407,1456,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,0,音乐类,1735,1362,371,1733,42.96,43.13,42.21,4039,3158,879,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,1,漫画类,2067,1503,563,2066,51.18,47.59,64.05,4039,3158,879,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,2,插画类,1752,1215,536,1751,43.38,38.47,60.98,4039,3158,879,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,3,小说类,797,574,223,797,19.73,18.18,25.37,4039,3158,879,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,4,视频类,1326,1103,223,1326,32.83,34.93,25.37,4039,3158,879,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,5,软件类,743,637,105,742,18.4,20.17,11.95,4039,3158,879,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,6,实物类,1199,907,292,1199,29.69,28.72,33.22,4039,3158,879,2
5,3,11,1,购买过什么类型的二次创作（国内作品）,1,7,其他,361,286,75,361,8.94,9.06,8.53,4039,3158,879,2
5,3,12,2,购买二次创作的渠道一般是（国内作品）,1,0,展会购买,2287,1759,527,2286,56.68,55.77,59.95,4035,3154,879,2
5,3,12,2,购买二次创作的渠道一般是（国内作品）,1,1,网络通贩,2993,2323,669,2992,74.18,73.65,76.11,4035,3154,879,2
5,3,12,2,购买二次创作的渠道一般是（国内作品）,1,2,他人转手,434,300,134,434,10.76,9.51,15.24,4035,3154,879,2
5,3,12,2,购买二次创作的渠道一般是（国内作品）,1,3,其他形式,386,281,105,386,9.57,8.91,11.95,4035,3154,879,2
5,3,12,2,购买二次创作的渠道一般是（国内作品）,1,4,下载贩卖,313,270,43,313,7.76,8.56,4.89,4035,3154,879,2
5,3,13,3,能接受的单个作品购买价上限是（国内作品）,0,0,40RMB以内,125,93,32,125,3.1,2.95,3.64,4036,3155,879,2
5,3,13,3,能接受的单个作品购买价上限是（国内作品）,0,1,50RMB以内,382,282,100,382,9.46,8.94,11.38,4036,3155,879,2
5,3,13,3,能接受的单个作品购买价上限是（国内作品）,0,2,100RMB以内,1143,857,285,1142,28.32,27.16,32.42,4036,3155,879,2
5,3,13,3,能接受的单个作品购买价上限是（国内作品）,0,3,150RMB以内,694,539,154,693,17.2,17.08,17.52,4036,3155,879,2
5,3,13,3,能接受的单个作品购买价上限是（国内作品）,0,4,200RMB以内,827,667,160,827,20.49,21.14,18.2,4036,3155,879,2
5,3,13,3,能接受的单个作品购买价上限是（国内作品）,0,5,300RMB以内,555,455,100,555,13.75,14.42,11.38,4036,3155,879,2
5,3,13,3,能接受的单个作品购买价上限是（国内作品）,0,6,300RMB以上,310,262,48,310,7.68,8.3,5.46,4036,3155,879,2
5,3,14,4,因何原因阻碍了购买（国内作品）,1,0,价格过高,496,421,75,496,24,24.59,21.13,2067,1712,355,0
5,3,14,4,因何原因阻碍了购买（国内作品）,1,1,渠道不便,1194,973,221,1194,57.76,56.83,62.25,2067,1712,355,0
5,3,14,4,因何原因阻碍了购买（国内作品）,1,2,环境阻碍,981,789,192,981,47.46,46.09,54.08,2067,1712,355,0
5,3,14,4,因何原因阻碍了购买（国内作品）,1,3,没喜欢的,273,223,50,273,13.21,13.03,14.08,2067,1712,355,0
5,3,15,1,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0,0,没有自主购买能力,89,74,15,89,17.94,17.58,20,496,421,75,0
5,3,15,1,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0,1,总价50RMB以内,121,97,24,121,24.4,23.04,32,496,421,75,0
5,3,15,1,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0,2,总价100RMB以内,175,149,26,175,35.28,35.39,34.67,496,421,75,0
5,3,15,1,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0,3,总价150RMB以内,60,55,5,60,12.1,13.06,6.67,496,421,75,0
5,3,15,1,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0,4,总价200RMB以内,37,34,3,37,7.46,8.08,4,496,421,75,0
5,3,15,1,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0,5,总价300RMB以内,12,10,2,12,2.42,2.38,2.67,496,421,75,0
5,3,15,1,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0,6,总价500RMB以内,2,2,0,2,0.4,0.48,0,496,421,75,0
5,3,16,2,环境中存在什么样的购买二次同人作品的阻碍（国内作品）,1,0,家人或朋友的反对,437,330,107,437,44.59,41.88,55.73,980,788,192,0
5,3,16,2,环境中存在什么样的购买二次同人作品的阻碍（国内作品）,1,1,居所没有放置空间,228,184,44,228,23.27,23.35,22.92,980,788,192,0
5,3,16,2,环境中存在什么样的购买二次同人作品的阻碍（国内作品）,1,2,其他方面的障碍,603,502,101,603,61.53,63.71,52.6,980,788,192,0
5,3,17,4,有想过做东方的同人创作吗,0,0,已经做过或正在做,1373,907,465,1372,17.47,14.17,31.94,7861,6402,1456,3
5,3,17,4,有想过做东方的同人创作吗,0,1,想过还没有实际做过,3765,3071,693,3764,47.89,47.97,47.6,7861,6402,1456,3
5,3,17,4,有想过做东方的同人创作吗,0,2,没有想过,2723,2424,298,2722,34.64,37.86,20.47,7861,6402,1456,3
5,3,18,1,想做或者做过什么类型的创作,1,0,音乐类,1415,1120,294,1414,27.56,28.18,25.39,5134,3974,1158,2
5,3,18,1,想做或者做过什么类型的创作,1,1,漫画类,1474,953,521,1474,28.71,23.98,44.99,5134,3974,1158,2
5,3,18,1,想做或者做过什么类型的创作,1,2,插画类,1684,1044,639,1683,32.8,26.27,55.18,5134,3974,1158,2
5,3,18,1,想做或者做过什么类型的创作,1,3,小说类,1797,1353,444,1797,35,34.05,38.34,5134,3974,1158,2
5,3,18,1,想做或者做过什么类型的创作,1,4,视频类,1733,1402,330,1732,33.76,35.28,28.5,5134,3974,1158,2
5,3,18,1,想做或者做过什么类型的创作,1,5,软件类,1090,941,149,1090,21.23,23.68,12.87,5134,3974,1158,2
5,3,18,1,想做或者做过什么类型的创作,1,6,实物类,316,213,103,316,6.16,5.36,8.89,5134,3974,1158,2
5,3,18,1,想做或者做过什么类型的创作,1,7,其他,469,373,96,469,9.14,9.39,8.29,5134,3974,1158,2
5,3,19,2,因何原因阻碍了创作的实行,1,0,没有时间,2359,1911,448,2359,62.76,62.35,64.65,3759,3065,693,1
5,3,19,2,因何原因阻碍了创作的实行,1,1,技术不够,3044,2490,553,3043,80.98,81.24,79.8,3759,3065,693,1
5,3,19,2,因何原因阻碍了创作的实行,1,2,环境阻碍,818,662,155,817,21.76,21.6,22.37,3759,3065,693,1
5,3,19,2,因何原因阻碍了创作的实行,1,3,资金不足,692,547,145,692,18.41,17.85,20.92,3759,3065,693,1
5,3,19,2,因何原因阻碍了创作的实行,1,4,缺乏人脉,723,579,144,723,19.23,18.89,20.78,3759,3065,693,1
5,3,19,2,因何原因阻碍了创作的实行,1,5,自身惰性,1503,1232,271,1503,39.98,40.2,39.11,3759,3065,693,1
5,3,19,2,因何原因阻碍了创作的实行,1,6,兴趣转移,108,82,26,108,2.87,2.68,3.75,3759,3065,693,1
5,3,19,2,因何原因阻碍了创作的实行,1,7,其他原因,215,170,45,215,5.72,5.55,6.49,3759,3065,693,1
5,3,20,3,是否还在继续进行着东方的同人创作,0,0,是,1188,780,407,1187,86.59,86.09,87.53,1372,906,465,1
5,3,20,3,是否还在继续进行着东方的同人创作,0,1,否,184,126,58,184,13.41,13.91,12.47,1372,906,465,1
5,3,21,1,在创作过程中遇到过什么样的困难,1,0,需要从其他事情上分时间与精力,812,544,267,811,68.47,69.92,65.6,1186,778,407,1
5,3,21,1,在创作过程中遇到过什么样的困难,1,1,资金十分紧张或缺乏,140,96,44,140,11.8,12.34,10.81,1186,778,407,1
5,3,21,1,在创作过程中遇到过什么样的困难,1,2,发展人脉的过程非常艰难,207,140,67,207,17.45,17.99,16.46,1186,778,407,1
5,3,21,1,在创作过程中遇到过什么样的困难,1,3,感到到自身水平或技术不足,904,584,319,903,76.22,75.06,78.38,1186,778,407,1
