"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","location","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_9996937304_f9_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","9","rank_heading","","博丽妖梦","2025-08-30","江西","古明地觉","第八名：古明地觉","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f9_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","9","小闷葫芦伊琳酱","2025-08-31","山西","古明地觉","绝对的稳定","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f9_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","9","风见幽泠","2025-08-31","广东","古明地觉","古明地八","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f9_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","9","幻想乡最强妖精","2025-08-31","广东","古明地觉","我的有生之年没多大要求，就希望古明地觉能到达第五名而已","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f9_reply4","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","9","鈾氱樉鍚涘瓙鈾DY","2025-09-04","广东","古明地觉","回复 幻想乡最强妖精 :致敬传奇coser古明地龙？","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f10_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","10","rank_heading","","博丽妖梦","2025-08-30","江西","藤原妹红","第九名：藤原妹红","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f10_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","10","Menthal792","2025-08-31","河南","藤原妹红","一如既往","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f10_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","10","C7H14S","2025-09-01","陕西","藤原妹红","跟⑨互换位置，主打的就是一个竹林冰火人","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f10_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","10","EOH","2025-10-01","广东","藤原妹红","回复 EOH :妹红和⑨的CP有没有说法","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f10_reply4","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","10","顽皮小龙虾261","2025-10-03","山东","藤原妹红","回复 EOH :9孩子不能吸烟","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f11_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","11","rank_heading","","博丽妖梦","2025-08-30","江西","琪露诺","第十名：琪露诺","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f11_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","11","贴吧用户_aRAUb1G","2025-08-31","浙江","琪露诺","什么时候当第⑨","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f11_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","11","幻想乡最强妖精","2025-08-31","广东","琪露诺","大家说让我第⑨我就第⑨？我偏不","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f11_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","11","堂前茉莉","2025-08-31","山东","琪露诺","回复 幻想乡最强妖精 :baka","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f11_reply4","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","11","幻想乡最强妖精","2025-08-31","广东","琪露诺","回复 堂前茉莉 :是天才，你才是baka呢","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f12_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","12","rank_heading","","博丽妖梦","2025-08-30","江西","射命丸文","第十一名：射命丸文","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f12_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","12","袿神","2025-08-31","山东","射命丸文","饭纲丸龙(急)","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f12_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","12","射命丸月","2025-08-31","上海","射命丸文","进步两名，堂堂大胜","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f12_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","12","🌈剑立直角坐标熙","2025-09-01","陕西","射命丸文","什么时候能重返前十荣光","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
