"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_5517613326_f69_reply1","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","69","Zokrok","2018-01-16","","感觉这次tkz的人气都被pyh吸走了，就像上上届gzz吸走sml的人气一样…什么原理","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f69_reply2","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","69","风中的翔","2018-01-16","","回复 黑化的渣渣 :GZZ剧情人设爆点都很高，相比TKZ就很平淡了（包括糟糕的游戏性），SML剧情人设爆点很低（不知道秘封组的人根本get不到），而PYH人设非常符合当前潮流，爆点高。也非常自然了","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f69_reply3","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","69","三八七","2018-01-16","","回复 风中的翔 :就算不知道秘封组,都要炸掉大结界了怎么可能剧情爆点低","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f69_reply4","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","69","风中的翔","2018-01-16","","回复 三八七 : XQL里还要人类绝望化呢，大家都知道最后肯定是HAPPYENDING，对于什么威胁之类的没多少人在意，就好像PYH现在也没多少在意凭依异变会有什么威胁之类的，都是“很快又变得温顺了”","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f70_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","70","main_reply","","前辈好別扭","2018-01-16","","小爱啊…… 顺便神摩莲简直了，nana:届不到届不到【【 话说tkz有点迷之惨淡，感觉跟当年的城有一拼【？？ 虽然说这只是个晒票榜😂😂😂","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f71_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","71","main_reply","","宫本美代子","2018-01-16","","世界一位！","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f72_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","72","main_reply","","妳心离我太远_","2018-01-16","","紫苑这。么高人气嘛","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f85_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","85","main_reply","","鵺枫","2018-01-16","","不是，紫苑女苑坐火箭的吧，直接进前50了，以及这次恋恋继续无意识世界第一？","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f86_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","86","main_reply","","铃昙幡🍺","2018-01-16","","铃仙酱要稳住啊","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f88_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","88","main_reply","","银河赞歌","2018-01-16","","弱气真的是可以为所欲为的","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
