alias_cn,canonical_cn,alias_type,source_character_cn_thb,source_character_jp,source_url,mapping_status,confidence,use_scope
椛椛,犬走椛,thbwiki_community_nickname_candidate,犬走椛,犬走 椛,https://thbwiki.cc/犬走椛,search_only_not_poll_normalized,low,search_vocabulary_only
橙,橙,thbwiki_cn_reference_name,橙,橙,https://thbwiki.cc/橙,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
橙喵,橙,thbwiki_community_nickname_candidate,橙,橙,https://thbwiki.cc/橙,search_only_not_poll_normalized,low,search_vocabulary_only
橙子,奥莲姬,thbwiki_community_nickname_candidate,奥莲姬,オレンジ,https://thbwiki.cc/奥莲姬,search_only_not_poll_normalized,low,search_vocabulary_only
欢姐,坂田合欢,thbwiki_community_nickname_candidate,坂田合欢,坂田 ネムノ,https://thbwiki.cc/坂田合欢,search_only_not_poll_normalized,low,search_vocabulary_only
死神,小野塚小町,thbwiki_community_nickname_candidate,小野塚小町,小野塚 小町,https://thbwiki.cc/小野塚小町,search_only_not_poll_normalized,low,search_vocabulary_only
毒人偶,梅蒂欣·梅兰可莉,thbwiki_community_nickname_candidate,梅蒂欣·梅兰可莉,メディスン・メランコリー,https://thbwiki.cc/梅蒂欣·梅兰可莉,search_only_not_poll_normalized,low,search_vocabulary_only
比那名居天子,比那名居天子,thbwiki_cn_reference_name,比那名居天子,比那名居 天子,https://thbwiki.cc/比那名居天子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
水子,戎璎花,thbwiki_community_nickname_candidate,戎璎花,戎 瓔花,https://thbwiki.cc/戎璎花,search_only_not_poll_normalized,low,search_vocabulary_only
水桥帕露西,水桥帕露西,thbwiki_cn_reference_name,水桥帕露西,水橋 パルスィ,https://thbwiki.cc/水桥帕露西,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
永江衣玖,永江衣玖,thbwiki_cn_reference_name,永江衣玖,永江 衣玖,https://thbwiki.cc/永江衣玖,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
河城荷取,河城荷取,thbwiki_cn_reference_name,河城荷取,河城 にとり,https://thbwiki.cc/河城荷取,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
河童,河城荷取,thbwiki_community_nickname_candidate,河城荷取,河城 にとり,https://thbwiki.cc/河城荷取,search_only_not_poll_normalized,low,search_vocabulary_only
泠仙,铃仙二号,thbwiki_community_nickname_candidate,Reisen,レイセン,https://thbwiki.cc/Reisen,search_only_not_poll_normalized,low,search_vocabulary_only
洩矢诹访子,洩矢诹访子,thbwiki_cn_reference_name,洩矢诹访子,洩矢 諏訪子,https://thbwiki.cc/洩矢诹访子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
清兰,清兰,thbwiki_cn_reference_name,清兰,清蘭,https://thbwiki.cc/清兰,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
火焰猫燐,火焰猫燐,thbwiki_cn_reference_name,火焰猫燐,火焔猫 燐,https://thbwiki.cc/火焰猫燐,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
灵乌路空,灵乌路空,thbwiki_cn_reference_name,灵乌路空,霊烏路 空,https://thbwiki.cc/灵乌路空,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
烤红薯,秋穰子,thbwiki_community_nickname_candidate,秋穰子,秋 穣子,https://thbwiki.cc/秋穰子,search_only_not_poll_normalized,low,search_vocabulary_only
爱丽丝·玛格特洛依德,爱丽丝·玛格特洛依德,thbwiki_cn_reference_name,爱丽丝·玛格特洛依德,アリス・マーガトロイド,https://thbwiki.cc/爱丽丝·玛格特洛依德,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
