round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet
6,147,苏格拉底,5,0,0,5,0.0007,0,4,0.8,1,0.2,TouhouVote_cn.xlsx,6
6,151,留琴,4,1,0.25,5,0.0005,0.0001,3,0.75,1,0.25,TouhouVote_cn.xlsx,6
6,151,酒吧老板,4,0,0,4,0.0005,0,3,0.75,1,0.25,TouhouVote_cn.xlsx,6
6,151,求闻史纪中的受访人群,4,0,0,4,0.0005,0,4,1,0,0,TouhouVote_cn.xlsx,6
6,151,月夜见,4,0,0,4,0.0005,0,3,0.75,1,0.25,TouhouVote_cn.xlsx,6
6,155,黄帝,3,1,0.3333,4,0.0004,0.0001,2,0.6667,1,0.3333,TouhouVote_cn.xlsx,6
6,155,妖怪兔,3,0,0,3,0.0004,0,3,1,0,0,TouhouVote_cn.xlsx,6
6,155,酒吧客人,3,0,0,3,0.0004,0,2,0.6667,1,0.3333,TouhouVote_cn.xlsx,6
6,155,菊理,3,0,0,3,0.0004,0,1,0.3333,2,0.6667,TouhouVote_cn.xlsx,6
6,155,读书狐狸,3,0,0,3,0.0004,0,3,1,0,0,TouhouVote_cn.xlsx,6
6,155,导航,3,0,0,3,0.0004,0,2,0.6667,1,0.3333,TouhouVote_cn.xlsx,6
6,155,阿菊,3,0,0,3,0.0004,0,1,0.3333,2,0.6667,TouhouVote_cn.xlsx,6
6,155,河童（含山童）,3,0,0,3,0.0004,0,2,0.6667,1,0.3333,TouhouVote_cn.xlsx,6
6,163,奥莲姬,2,1,0.5,3,0.0003,0.0001,2,1,0,0,TouhouVote_cn.xlsx,6
6,163,白仙和尚,2,0,0,2,0.0003,0,2,1,0,0,TouhouVote_cn.xlsx,6
