round,source_rank,source_record_id,raw_title_jp,raw_title_cn,canonical_track,merge_basis,mapped_character,matched_existing_repaired_mapping,mapped_by_character_theme_overlay
21,156.0,76,御伽の国の鬼が島 ~ Missing Power,御伽之国的鬼岛 ~ Missing Power,御伽之国的鬼岛,official_jp_user_repaired_exact,伊吹萃香,True,False
21,157.0,174,ハートフェルトファンシー,Heartfelt Fancy,Heartfelt Fancy,official_jp_repaired_exact,,True,False
21,158.0,524,かわいい悪魔 ~ Innocence,可爱的恶魔 ~ Innocence,可爱的恶魔 ~ Innocence,official_jp_repaired_exact,,True,False
21,159.0,78,東方萃夢想,东方萃梦想,东方萃梦想,official_jp_repaired_exact,,True,False
21,159.0,337,兎は舞い降りた,兔已着陆,兔已着陆,official_jp_user_repaired_exact,清兰,True,False
21,159.0,343,逆転するホイールオブフォーチュン,逆转的命运之轮,逆转的命运之轮,official_jp_user_repaired_exact,稀神探女,True,False
21,162.0,447,聖徳太子のペガサス 〜Dark Pegasus,圣德太子的天马 ~ Dark Pegasus,圣德太子的天马,official_jp_user_repaired_exact,骊驹早鬼,True,False
21,163.0,540,Romantic Children,Romantic Children,Romantic Children,official_jp_repaired_exact,,True,False
21,164.0,20,クリスタライズシルバー,Crystallize Silver,Crystallize Silver,official_jp_user_repaired_exact,蕾蒂·霍瓦特洛克,True,False
21,164.0,22,ティアオイエツォン(withered leaf),凋叶棕(withered leaf),凋叶棕,official_jp_user_repaired_exact,橙,True,False
21,166.0,582,綿月のスペルカード ~ Lunatic Blue,绵月的符卡 ~ Lunatic Blue,绵月的符卡 ~ Lunatic Blue,official_jp_repaired_exact,,True,False
21,167.0,796,タイニーシャングリラ,Tiny Shangri-La,Tiny Shangri-La,official_jp_user_repaired_exact,孙美天,True,False
21,168.0,549,神話幻想 ~ Infinite Being,神话幻想 ~ Infinite Being,神话幻想 ~ Infinite Being,official_jp_repaired_exact,,True,False
21,169.0,442,ビーストメトロポリス,Beast Metropolis,Beast Metropolis,official_jp_repaired_exact,,True,False
21,170.0,521,幽夢 ~ Inanimate Dream,幽梦 ~ Inanimate Dream,幽梦 ~ Inanimate Dream,official_jp_repaired_exact,,True,False
21,171.0,196,法界の火,法界之火,法界之火,official_jp_repaired_exact,,True,False
21,172.0,282,柳の下のデュラハン,柳树下的杜拉罕,柳树下的杜拉罕,official_jp_user_repaired_exact,赤蛮奇,True,False
21,173.0,748,幻想の地下大線路網,幻想地下大轨道网,幻想地下大轨道网,official_jp_user_repaired_exact,菅牧典,True,False
21,174.0,625,53ミニッツの青い海,53分钟的蓝色大海,53分钟的蓝色大海,official_jp_repaired_exact,,True,False
21,175.0,173,華のさかづき大江山,大江山的花之酒宴,大江山的花之酒宴,official_jp_user_repaired_exact,星熊勇仪,True,False
21,176.0,304,永遠の三日天下,永远的三日天下,永远的三日天下,official_jp_user_repaired_exact,鬼人正邪,True,False
21,177.0,151,幼心地の有頂天,幼小的有顶天,幼小的有顶天,official_jp_user_repaired_exact,比那名居天子,True,False
