site,character,character_score,character_total_score,character_rate,character_z,has_music_association,music_count,weight_sum,music_weighted_z_sum,music_weighted_z_mean,music_weighted_rate_sum,music_weighted_rate_mean,music_total_score
cn,戎璎花,75,89467.0,0.0008382979199034281,-0.655887361857916,True,1,1.0,-0.6575514726579853,-0.6575514726579853,0.0003851667986219588,0.0003851667986219588,93466.0
cn,杖刀偶磨弓,75,89467.0,0.0008382979199034281,-0.655887361857916,True,1,1.0,-0.6663043147421743,-0.6663043147421743,0.00034237048766396335,0.00034237048766396335,93466.0
cn,黑谷山女,72,89467.0,0.000804766003107291,-0.65918006845472,True,1,1.0,-0.6881864199526472,-0.6881864199526472,0.00023537971026897482,0.00023537971026897482,93466.0
cn,云居一轮,60,89467.0,0.0006706383359227425,-0.672350894841936,True,1,1.0,-0.6728689463053162,-0.6728689463053162,0.0003102732544454668,0.0003102732544454668,93466.0
cn,寅丸星,59,89467.0,0.00065946103032403,-0.6734484637075374,True,1,1.0,-0.6663043147421743,-0.6663043147421743,0.00034237048766396335,0.00034237048766396335,93466.0
cn,矢田寺成美,56,89467.0,0.0006259291135278929,-0.6767411703043414,True,1,1.0,-0.7056921041210253,-0.7056921041210253,0.00014978708835298397,0.00014978708835298397,93466.0
cn,梅露兰·普莉兹姆利巴,55,89467.0,0.0006147518079291806,-0.6778387391699427,True,1,1.0,0.7516561028964628,0.7516561028964628,0.007275372862859221,0.007275372862859221,93466.0
cn,丁礼田舞,53,89467.0,0.0005923971967317558,-0.6800338769011454,True,3,2.25,-1.2694226034599279,-0.5641878237599679,0.0018937367598912975,0.00084166078217391,93466.0
cn,九十九八桥,52,89467.0,0.0005812198911330434,-0.6811314457667468,True,1,1.0,0.7429032608122738,0.7429032608122738,0.007232576551901226,0.007232576551901226,93466.0
cn,尔子田里乃,47,89467.0,0.0005253333631394816,-0.6866192900947534,True,3,2.25,-1.2694226034599279,-0.5641878237599679,0.0018937367598912975,0.00084166078217391,93466.0
cn,莉莉卡·普莉兹姆利巴,47,89467.0,0.0005253333631394816,-0.6866192900947534,True,1,1.0,0.7516561028964628,0.7516561028964628,0.007275372862859221,0.007275372862859221,93466.0
cn,驹草山如,40,89467.0,0.00044709222394849496,-0.6943022721539628,True,2,1.75,-0.658914762546098,-0.37652272145491317,0.0030786596195407955,0.001759234068309026,93466.0
cn,山城高岭,39,89467.0,0.0004359149183497826,-0.6953998410195642,True,1,1.0,-0.6947510515157891,-0.6947510515157891,0.00020328247705047825,0.00020328247705047825,93466.0
cn,铃瑚,33,89467.0,0.00036885108475750837,-0.7019852542131723,True,1,1.0,-0.609410841194945,-0.609410841194945,0.0006205465088909335,0.0006205465088909335,93466.0
cn,玉造魅须丸,32,89467.0,0.000357673779158796,-0.7030828230787736,True,1,1.0,-0.6772453673474107,-0.6772453673474107,0.0002888750989664691,0.0002888750989664691,93466.0
cn,坂田合欢,25,89467.0,0.00027943263996780935,-0.7107658051379829,True,1,1.0,-0.7231977882894036,-0.7231977882894036,6.419446643699313e-05,6.419446643699313e-05,93466.0
cn,蕾拉·普莉兹姆利巴,25,89467.0,0.00027943263996780935,-0.7107658051379829,False,0,0.0,0.0,0.0,0.0,0.0,93466.0
cn,牛崎润美,19,89467.0,0.0002123688063755351,-0.717351218331591,True,1,1.0,-0.7275742093314982,-0.7275742093314982,4.279631095799542e-05,4.279631095799542e-05,93466.0
cn,琪斯美,12,89467.0,0.0001341276671845485,-0.7250342003908004,True,1,1.0,-0.5218824203530539,-0.5218824203530539,0.0010485096184708878,0.0010485096184708878,93466.0
cn,云山,11,89467.0,0.00012295036158583612,-0.7261317692564017,False,0,0.0,0.0,0.0,0.0,0.0,93466.0
jp,博丽灵梦,21959,394812.0,0.055618876832517754,4.659973563480661,True,3,2.25,-0.5089670672589367,-0.22620758544841632,0.006147952108670125,0.0027324231594089443,338934.0
jp,雾雨魔理沙,20249,394812.0,0.05128770148830329,4.239503544686682,True,5,2.75,2.898258789548287,1.053912287108468,0.030508889636330378,0.01109414168593832,338934.0
jp,芙兰朵露·斯卡蕾特,17324,394812.0,0.04387911208372593,3.5202785125390843,True,3,2.25,7.508182113703052,3.3369698283124674,0.058515817238754445,0.026007029883890864,338934.0
jp,古明地恋,16273,394812.0,0.04121708560023505,3.2618492787657085,True,2,1.75,4.3219453261120275,2.469683043492587,0.0355983760850195,0.020341929191439713,338934.0
jp,魂魄妖梦,14445,394812.0,0.036587033828759004,2.8123643697859446,True,2,1.75,0.5274150793710998,0.30138004535491414,0.010812577079903463,0.00617861547423055,338934.0
jp,十六夜咲夜,14437,394812.0,0.0365667710201311,2.810397258586909,True,3,2.25,2.52661196118762,1.12293864941672,0.025976296270070278,0.01154502056447568,338934.0
jp,蕾米莉亚·斯卡蕾特,13785,394812.0,0.034915352116956934,2.6500776958654617,True,1,1.0,4.838987852159049,4.838987852159049,0.03581818289106434,0.03581818289106434,338934.0
jp,古明地觉,9921,394812.0,0.02512841554967934,1.6999629867309942,True,1,1.0,1.3605273063563654,1.3605273063563654,0.013096945127960016,0.013096945127960016,338934.0
jp,藤原妹红,9377,394812.0,0.023750544562981875,1.566199425196535,True,1,1.0,3.3488643174748445,3.3488643174748445,0.026084724459629307,0.026084724459629307,338934.0
jp,琪露诺,8159,394812.0,0.020665531949383503,1.2667067451432792,True,2,1.75,1.2249365308521794,0.6999637319155311,0.015368773861577771,0.008782156492330155,338934.0
jp,西行寺幽幽子,7973,394812.0,0.02019442164878474,1.2209714097656883,True,4,2.5,1.7788497188810137,0.7115398875524055,0.022144429298919553,0.00885777171956782,338934.0
jp,爱丽丝·玛格特洛依德,7417,394812.0,0.018786156449145417,1.0842571814326751,True,4,2.5,0.05023414833344016,0.020093659333376063,0.010853145450146635,0.004341258180058654,338934.0
jp,射命丸文,7235,394812.0,0.018325177552860603,1.0395054016546024,True,5,2.75,-0.27056863014769,-0.09838859278097818,0.009810169531531212,0.003567334375102259,338934.0
jp,东风谷早苗,6762,394812.0,0.017127138992735783,0.923199952011589,True,2,1.75,0.7245775294740567,0.41404430255660385,0.012100438433441319,0.006914536247680754,338934.0
jp,铃仙·优昙华院·因幡,6491,394812.0,0.01644073635046554,0.8565640601442391,True,1,1.0,0.676669461096625,0.676669461096625,0.008629998760820691,0.008629998760820691,338934.0
jp,八云紫,5996,394812.0,0.015186975066613984,0.7348490547038764,True,3,2.25,1.636783721318604,0.7274594316971573,0.02016395522432096,0.008961757877475982,338934.0
jp,帕秋莉·诺蕾姬,5559,394812.0,0.014080119145314733,0.627395605456526,True,3,2.25,0.8046588102025166,0.3576261378677852,0.014728531218467313,0.006546013874874361,338934.0
jp,红美铃,5302,394812.0,0.01342917641814332,0.5642021581874892,True,2,1.75,2.964731415580849,1.6941322374747707,0.026733080776788404,0.015276046158164802,338934.0
jp,秦心,5235,394812.0,0.013259475395884623,0.5477276018955612,True,1,1.0,-0.2118037103868028,-0.2118037103868028,0.0028265089958517,0.0028265089958517,338934.0
jp,比那名居天子,5207,394812.0,0.01318855556568696,0.5408427126989347,True,2,1.75,-0.337231472999084,-0.19270369885661945,0.005164722335321921,0.002951269905898241,338934.0
jp,露米娅,5152,394812.0,0.01304924875637012,0.5273188232055611,True,1,1.0,0.47476427164411245,0.47476427164411245,0.007311157924551683,0.007311157924551683,338934.0
jp,洩矢诹访子,4914,394812.0,0.01244643019968998,0.46879726503423524,True,2,1.75,1.4862388845396033,0.849279362594059,0.01707559583871786,0.009757483336410206,338934.0
jp,多多良小伞,4806,394812.0,0.012172882283213277,0.44224126384724705,True,1,1.0,-0.24703548841207346,-0.24703548841207346,0.002596375695563148,0.002596375695563148,338934.0
jp,风见幽香,4288,394812.0,0.010860865424556498,0.3148708137096555,True,1,1.0,-0.3211125601575143,-0.3211125601575143,0.002112505679571834,0.002112505679571834,338934.0
jp,四季映姬·夜摩仙那度,4151,394812.0,0.010513864826803642,0.281184034426161,True,1,1.0,0.3532598064031149,0.3532598064031149,0.006517493081248857,0.006517493081248857,338934.0
jp,纯狐,3716,394812.0,0.009412074607661369,0.17422236297856974,True,2,1.75,1.5843684201292192,0.9053533829309824,0.017716576088560015,0.010123757764891437,338934.0
jp,伊吹萃香,3715,394812.0,0.00940954175658288,0.17397647407869019,True,3,2.25,0.8098532390139348,0.35993477289508213,0.014762461128125239,0.006561093834722328,338934.0
jp,犬走椛,3695,394812.0,0.00935888473501312,0.1690586960810997,True,1,1.0,0.28866821335678544,0.28866821335678544,0.0060955820307198455,0.0060955820307198455,338934.0
jp,八云蓝,3635,394812.0,0.00920691367030384,0.1543053620883285,True,2,1.75,-0.4626882210313779,-0.26439326916078737,0.004345241256409803,0.0024829950036627446,338934.0
jp,蓬莱山辉夜,3519,394812.0,0.008913102945199234,0.12578224970230414,True,3,2.25,1.0943046776218093,0.4863576344985819,0.01662049248526262,0.0073868855490056085,338934.0
jp,灵乌路空,3463,394812.0,0.008771263284803908,0.11201247130905109,True,1,1.0,0.2733107716534623,0.2733107716534623,0.005995267515209451,0.005995267515209451,338934.0
jp,依神紫苑,3372,394812.0,0.0085407738366615,0.0896365814200147,True,1,1.0,0.8320506359773059,0.8320506359773059,0.00964494562363174,0.00964494562363174,338934.0
jp,丰聪耳神子,3305,394812.0,0.008371072814402804,0.07316202512808674,True,1,1.0,0.029850151709604793,0.029850151709604793,0.004404987401677022,0.004404987401677022,338934.0
jp,鬼人正邪,3174,394812.0,0.008039269323120877,0.040950579243869537,True,6,3.0,-1.1877144206527122,-0.3959048068842374,0.004871892462839374,0.0016239641542797913,338934.0
jp,水桥帕露西,3144,394812.0,0.007963283790766239,0.033573912247484045,True,2,1.75,-0.5223112299972206,-0.29846355999841173,0.00395578490207533,0.002260448515471617,338934.0
jp,八意永琳,3100,394812.0,0.007851838343312767,0.022754800652785116,True,3,2.25,1.0694617572193748,0.47531633654194433,0.016458219004289922,0.0073147640019066325,338934.0
jp,赫卡提亚·拉碧斯拉祖利,3012,394812.0,0.007628947448405823,0.0011165774633872644,True,1,1.0,-0.03383806241299978,-0.03383806241299978,0.003988977205001564,0.003988977205001564,338934.0
jp,物部布都,2967,394812.0,0.007514969149873864,-0.009948423031191145,True,1,1.0,-0.4204842417672521,-0.4204842417672521,0.001463411755681047,0.001463411755681047,338934.0
jp,河城荷取,2849,394812.0,0.007216092722612281,-0.03896331321697458,True,1,1.0,0.032108599018917085,0.032108599018917085,0.004419739536310904,0.004419739536310904,338934.0
jp,饕餮尤魔,2803,394812.0,0.007099581573001834,-0.050274202611432464,True,2,1.75,-0.5830634626177194,-0.3331791214958396,0.0035589524804239174,0.00203368713167081,338934.0
jp,键山雏,2774,394812.0,0.007026128891725682,-0.05740498070793856,True,2,1.75,-0.15090956998082578,-0.0862340399890433,0.006381773442617147,0.0036467276814955126,338934.0
jp,稀神探女,2731,394812.0,0.006917216295350698,-0.06797820340275801,True,2,1.75,-0.7075039093608226,-0.40428794820618436,0.0027461098620970457,0.001569205635484026,338934.0
