id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
302,小小欲望的星空,小さな欲望の星空,东方神灵庙,45,1,46,<a href='./?m=info&type=music&id=302' target='_blank'>点击查看详情</a>,2.22%,0.78%,0.02%,26,19,57.78%,42.22%,0.46%,1.54%,
303,圣德传说 ～ True Administrator,聖徳伝説 ～ True Administrator,东方神灵庙,450,55,505,<a href='./?m=info&type=music&id=303' target='_blank'>点击查看详情</a>,12.22%,7.84%,1.01%,327,123,72.67%,27.33%,5.73%,9.98%,
304,妖怪里参道,妖怪裏参道,东方神灵庙,24,0,24,<a href='./?m=info&type=music&id=304' target='_blank'>点击查看详情</a>,0%,0.42%,0%,14,10,58.33%,41.67%,0.25%,0.81%,
305,佐渡的二岩,佐渡の二ッ岩,东方神灵庙,141,3,144,<a href='./?m=info&type=music&id=305' target='_blank'>点击查看详情</a>,2.13%,2.46%,0.06%,102,39,72.34%,27.66%,1.79%,3.16%,
306,神社的新风,神社の新しい風,东方神灵庙,2,0,2,<a href='./?m=info&type=music&id=306' target='_blank'>点击查看详情</a>,0%,0.03%,0%,2,0,100%,0%,0.04%,0%,
307,Desire Dream,デザイアドリーム,东方神灵庙,13,1,14,<a href='./?m=info&type=music&id=307' target='_blank'>点击查看详情</a>,7.69%,0.23%,0.02%,10,3,76.92%,23.08%,0.18%,0.24%,
308,幻想乡的二岩,幻想郷の二ッ岩,东方心绮楼,16,0,16,<a href='./?m=info&type=music&id=308' target='_blank'>点击查看详情</a>,0%,0.28%,0%,8,8,50%,50%,0.14%,0.65%,
309,亡失的情感,亡失のエモーション,东方心绮楼,206,26,232,<a href='./?m=info&type=music&id=309' target='_blank'>点击查看详情</a>,12.62%,3.59%,0.48%,166,40,80.58%,19.42%,2.91%,3.24%,
310,尘世不变的悲观主义,塵界不変のペシミズム,东方心绮楼,36,3,39,<a href='./?m=info&type=music&id=310' target='_blank'>点击查看详情</a>,8.33%,0.63%,0.06%,33,3,91.67%,8.33%,0.58%,0.24%,
311,心绮楼囃子,心綺楼囃子,东方心绮楼,104,4,108,<a href='./?m=info&type=music&id=311' target='_blank'>点击查看详情</a>,3.85%,1.81%,0.07%,92,12,88.46%,11.54%,1.61%,0.97%,
312,有人气的场所,人気のある場所,东方心绮楼,2,0,2,<a href='./?m=info&type=music&id=312' target='_blank'>点击查看详情</a>,0%,0.03%,0%,1,1,50%,50%,0.02%,0.08%,
313,无人气的场所,人気のない場所,东方心绮楼,1,0,1,<a href='./?m=info&type=music&id=313' target='_blank'>点击查看详情</a>,0%,0.02%,0%,1,0,100%,0%,0.02%,0%,
314,丑时三刻的村庄,丑三つ時の里,东方心绮楼,1,0,1,<a href='./?m=info&type=music&id=314' target='_blank'>点击查看详情</a>,0%,0.02%,0%,0,1,0%,100%,0%,0.08%,
315,本日的头版头条,本日の一面記事,东方心绮楼,1,0,1,<a href='./?m=info&type=music&id=315' target='_blank'>点击查看详情</a>,0%,0.02%,0%,0,1,0%,100%,0%,0.08%,
316,晓云,暁雲,东方心绮楼,29,2,31,<a href='./?m=info&type=music&id=316' target='_blank'>点击查看详情</a>,6.9%,0.51%,0.04%,23,6,79.31%,20.69%,0.4%,0.49%,
317,官板黄昏新闻,官板黄昏新聞,东方心绮楼,8,1,9,<a href='./?m=info&type=music&id=317' target='_blank'>点击查看详情</a>,12.5%,0.14%,0.02%,6,2,75%,25%,0.11%,0.16%,
318,不可思议的驱魔棒,不思議なお祓い棒,东方辉针城,201,15,216,<a href='./?m=info&type=music&id=318' target='_blank'>点击查看详情</a>,7.46%,3.5%,0.28%,160,41,79.6%,20.4%,2.8%,3.33%,
319,Mist Lake,ミストレイク,东方辉针城,31,1,32,<a href='./?m=info&type=music&id=319' target='_blank'>点击查看详情</a>,3.23%,0.54%,0.02%,23,8,74.19%,25.81%,0.4%,0.65%,
320,秘境的人鱼,秘境のマーメイド,东方辉针城,16,2,18,<a href='./?m=info&type=music&id=320' target='_blank'>点击查看详情</a>,12.5%,0.28%,0.04%,13,3,81.25%,18.75%,0.23%,0.24%,
321,往来于运河的人与妖,運河を行き交う人妖,东方辉针城,8,1,9,<a href='./?m=info&type=music&id=321' target='_blank'>点击查看详情</a>,12.5%,0.14%,0.02%,7,1,87.5%,12.5%,0.12%,0.08%,
322,柳树下的杜拉罕,柳の下のデュラハン,东方辉针城,23,1,24,<a href='./?m=info&type=music&id=322' target='_blank'>点击查看详情</a>,4.35%,0.4%,0.02%,15,8,65.22%,34.78%,0.26%,0.65%,
323,满月的竹林,満月の竹林,东方辉针城,39,3,42,<a href='./?m=info&type=music&id=323' target='_blank'>点击查看详情</a>,7.69%,0.68%,0.06%,29,10,74.36%,25.64%,0.51%,0.81%,
324,孤独的狼人,孤独なウェアウルフ,东方辉针城,7,0,7,<a href='./?m=info&type=music&id=324' target='_blank'>点击查看详情</a>,0%,0.12%,0%,6,1,85.71%,14.29%,0.11%,0.08%,
325,Magical Storm,マジカルストーム,东方辉针城,1,0,1,<a href='./?m=info&type=music&id=325' target='_blank'>点击查看详情</a>,0%,0.02%,0%,0,1,0%,100%,0%,0.08%,
326,幻想净琉璃,幻想浄瑠璃,东方辉针城,448,20,468,<a href='./?m=info&type=music&id=326' target='_blank'>点击查看详情</a>,4.46%,7.8%,0.37%,323,125,72.1%,27.9%,5.66%,10.14%,
327,沉向空中的辉针城,空中に沈む輝針城,东方辉针城,61,2,63,<a href='./?m=info&type=music&id=327' target='_blank'>点击查看详情</a>,3.28%,1.06%,0.04%,46,15,75.41%,24.59%,0.81%,1.22%,
328,Reverse Ideology,リバースイデオロギー,东方辉针城,112,14,126,<a href='./?m=info&type=music&id=328' target='_blank'>点击查看详情</a>,12.5%,1.95%,0.26%,81,31,72.32%,27.68%,1.42%,2.51%,
329,针小棒大的天守阁,針小棒大の天守閣,东方辉针城,5,0,5,<a href='./?m=info&type=music&id=329' target='_blank'>点击查看详情</a>,0%,0.09%,0%,5,0,100%,0%,0.09%,0%,
330,辉光之针的小人族　～ Little Princess,輝く針の小人族　～ Little Princess,东方辉针城,1748,329,2077,<a href='./?m=info&type=music&id=330' target='_blank'>点击查看详情</a>,18.82%,30.44%,6.03%,1455,293,83.24%,16.76%,25.5%,23.76%,
331,魔力的雷云,魔力の雷雲,东方辉针城,18,1,19,<a href='./?m=info&type=music&id=331' target='_blank'>点击查看详情</a>,5.56%,0.31%,0.02%,15,3,83.33%,16.67%,0.26%,0.24%,
