round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
9,chara,27,15,黑龙江,192,3,2,1,1.56,1.18,4.55
9,chara,27,16,吉林,123,,,,,,
9,chara,27,17,辽宁,303,3,3,,0.99,1.18,
9,chara,27,18,陕西,250,,,,,,
9,chara,27,19,内蒙古,87,2,2,,2.3,2.74,
9,chara,27,20,安徽,349,2,2,,0.57,0.65,
9,chara,27,21,福建,480,6,3,3,1.25,0.76,3.53
9,chara,27,22,江西,337,2,2,,0.59,0.7,
9,chara,27,23,广西,392,3,3,,0.77,0.94,
9,chara,27,24,海南,76,,,,,,
9,chara,27,25,贵州,143,1,1,,0.7,0.82,
9,chara,27,26,云南,125,1,1,,0.8,0.9,
9,chara,27,27,甘肃,57,,,,,,
9,chara,27,28,宁夏,10,,,,,,
9,chara,27,29,青海,15,,,,,,
9,chara,27,30,新疆,57,1,1,,1.75,2.13,
9,chara,27,31,西藏,1,,,,,,
9,chara,27,32,香港,66,,,,,,
9,chara,27,33,澳门,12,,,,,,
9,chara,27,34,台湾,68,,,,,,
9,chara,28,01,北京,713,13,12,1,1.82,2.04,0.82
9,chara,28,02,上海,757,16,14,2,2.11,2.31,1.55
9,chara,28,03,广东,1570,32,28,4,2.04,2.1,1.83
9,chara,28,04,天津,253,2,1,1,0.79,0.47,3.03
9,chara,28,05,重庆,244,2,2,,0.82,0.97,
9,chara,28,06,四川,604,11,9,2,1.82,1.76,2.2
9,chara,28,07,江苏,993,22,20,2,2.22,2.31,1.57
9,chara,28,08,浙江,853,9,9,,1.06,1.25,
9,chara,28,09,湖北,576,6,6,,1.04,1.2,
9,chara,28,10,湖南,356,3,3,,0.84,1.03,
9,chara,28,11,山东,592,5,5,,0.84,0.98,
9,chara,28,12,山西,137,2,2,,1.46,1.67,
9,chara,28,13,河北,281,4,4,,1.42,1.63,
9,chara,28,14,河南,380,3,3,,0.79,0.9,
9,chara,28,15,黑龙江,192,8,6,2,4.17,3.53,9.09
9,chara,28,16,吉林,123,3,3,,2.44,2.8,
